Trace,Latency(cycles)
Chiplet_4_layer_0,96
Chiplet_4_layer_1,66
Chiplet_4_layer_2,117
Chiplet_4_layer_3,126
Chiplet_4_layer_4,131
Chiplet_4_layer_5,119
Chiplet_4_layer_6,105
Chiplet_4_layer_7,119
Chiplet_0_layer_0,131
Chiplet_0_layer_1,95
Chiplet_0_layer_2,34
Chiplet_0_layer_3,121
Chiplet_0_layer_4,121
Chiplet_0_layer_5,132
Chiplet_0_layer_6,118
Chiplet_0_layer_7,126
Chiplet_2_layer_0,131
Chiplet_2_layer_1,95
Chiplet_2_layer_2,117
Chiplet_2_layer_3,136
Chiplet_2_layer_4,118
Chiplet_2_layer_5,132
Chiplet_2_layer_6,118
Chiplet_2_layer_7,126
Chiplet_8_layer_0,77
Chiplet_8_layer_1,77
Chiplet_8_layer_2,81
Chiplet_8_layer_3,71
Chiplet_8_layer_4,77
Chiplet_8_layer_5,69
Chiplet_8_layer_6,72
Chiplet_3_layer_0,122
Chiplet_3_layer_1,95
Chiplet_3_layer_2,117
Chiplet_3_layer_3,136
Chiplet_3_layer_4,118
Chiplet_3_layer_5,121
Chiplet_3_layer_6,121
Chiplet_3_layer_7,126
Chiplet_5_layer_0,82
Chiplet_5_layer_1,80
Chiplet_5_layer_2,72
Chiplet_5_layer_3,77
Chiplet_5_layer_4,77
Chiplet_5_layer_5,77
Chiplet_5_layer_6,73
Chiplet_6_layer_0,71
Chiplet_6_layer_1,71
Chiplet_6_layer_2,71
Chiplet_6_layer_3,71
Chiplet_6_layer_4,71
Chiplet_6_layer_5,71
Chiplet_6_layer_6,105
Chiplet_13_layer_0,28
Chiplet_13_layer_1,44
Chiplet_13_layer_2,47
Chiplet_13_layer_3,35
Chiplet_10_layer_0,42
Chiplet_10_layer_1,38
Chiplet_10_layer_2,46
Chiplet_10_layer_3,66
Chiplet_10_layer_4,49
Chiplet_10_layer_5,52
Chiplet_10_layer_6,47
Chiplet_10_layer_7,52
Chiplet_11_layer_0,47
Chiplet_11_layer_1,38
Chiplet_11_layer_2,45
Chiplet_11_layer_3,52
Chiplet_11_layer_4,49
Chiplet_11_layer_5,49
Chiplet_11_layer_6,49
Chiplet_11_layer_7,51
Chiplet_9_layer_0,49
Chiplet_9_layer_1,35
Chiplet_9_layer_2,67
Chiplet_9_layer_3,51
Chiplet_9_layer_4,51
Chiplet_9_layer_5,47
Chiplet_9_layer_6,55
Chiplet_9_layer_7,49
Chiplet_12_layer_0,49
Chiplet_12_layer_1,38
Chiplet_12_layer_2,46
Chiplet_12_layer_3,43
Chiplet_12_layer_4,49
Chiplet_12_layer_5,47
Chiplet_12_layer_6,50
Chiplet_12_layer_7,49
Chiplet_7_layer_0,71
Chiplet_7_layer_1,77
Chiplet_7_layer_2,105
Chiplet_7_layer_3,105
Chiplet_7_layer_4,77
Chiplet_7_layer_5,66
Chiplet_7_layer_6,71
Chiplet_1_layer_0,122
Chiplet_1_layer_1,97
Chiplet_1_layer_2,109
Chiplet_1_layer_3,122
Chiplet_1_layer_4,183
Chiplet_1_layer_5,124
Chiplet_1_layer_6,122
Chiplet_1_layer_7,122
Total NoC latency is	0.000009	s
