Trace,Latency(cycles)
Chiplet_0_layer_0,1089
Chiplet_0_layer_1,276
Chiplet_0_layer_2,433
Chiplet_0_layer_3,79
Chiplet_0_layer_4,552
Chiplet_0_layer_5,79
Chiplet_0_layer_6,148
Chiplet_0_layer_7,79
Chiplet_0_layer_8,37
Chiplet_0_layer_9,136
Chiplet_0_layer_10,79
Chiplet_0_layer_11,547
Chiplet_0_layer_12,148
Chiplet_0_layer_13,148
Chiplet_0_layer_14,156
Chiplet_1_layer_0,80
Chiplet_1_layer_1,89
Chiplet_1_layer_2,196
Chiplet_1_layer_3,37
Chiplet_1_layer_4,37
Chiplet_1_layer_5,81
Chiplet_1_layer_6,70
Chiplet_1_layer_7,256
Chiplet_1_layer_8,196
Total NoC latency is	0.000005	s
