Trace,Latency(cycles)
Chiplet_4_layer_0,97
Chiplet_4_layer_1,105
Chiplet_4_layer_2,66
Chiplet_4_layer_3,132
Chiplet_4_layer_4,124
Chiplet_4_layer_5,109
Chiplet_4_layer_6,110
Chiplet_4_layer_7,132
Chiplet_0_layer_0,124
Chiplet_0_layer_1,97
Chiplet_0_layer_2,36
Chiplet_0_layer_3,132
Chiplet_0_layer_4,124
Chiplet_0_layer_5,132
Chiplet_0_layer_6,124
Chiplet_0_layer_7,132
Chiplet_2_layer_0,124
Chiplet_2_layer_1,97
Chiplet_2_layer_2,66
Chiplet_2_layer_3,132
Chiplet_2_layer_4,124
Chiplet_2_layer_5,132
Chiplet_2_layer_6,124
Chiplet_2_layer_7,132
Chiplet_8_layer_0,105
Chiplet_8_layer_1,105
Chiplet_8_layer_2,110
Chiplet_8_layer_3,105
Chiplet_8_layer_4,110
Chiplet_8_layer_5,105
Chiplet_8_layer_6,110
Chiplet_3_layer_0,124
Chiplet_3_layer_1,97
Chiplet_3_layer_2,66
Chiplet_3_layer_3,132
Chiplet_3_layer_4,124
Chiplet_3_layer_5,132
Chiplet_3_layer_6,124
Chiplet_3_layer_7,132
Chiplet_5_layer_0,105
Chiplet_5_layer_1,105
Chiplet_5_layer_2,110
Chiplet_5_layer_3,105
Chiplet_5_layer_4,110
Chiplet_5_layer_5,105
Chiplet_5_layer_6,110
Chiplet_6_layer_0,105
Chiplet_6_layer_1,105
Chiplet_6_layer_2,110
Chiplet_6_layer_3,105
Chiplet_6_layer_4,110
Chiplet_6_layer_5,105
Chiplet_6_layer_6,110
Chiplet_13_layer_0,32
Chiplet_13_layer_1,54
Chiplet_13_layer_2,50
Chiplet_13_layer_3,38
Chiplet_10_layer_0,50
Chiplet_10_layer_1,38
Chiplet_10_layer_2,32
Chiplet_10_layer_3,54
Chiplet_10_layer_4,50
Chiplet_10_layer_5,54
Chiplet_10_layer_6,50
Chiplet_10_layer_7,54
Chiplet_11_layer_0,50
Chiplet_11_layer_1,38
Chiplet_11_layer_2,32
Chiplet_11_layer_3,54
Chiplet_11_layer_4,50
Chiplet_11_layer_5,54
Chiplet_11_layer_6,50
Chiplet_11_layer_7,54
Chiplet_9_layer_0,50
Chiplet_9_layer_1,38
Chiplet_9_layer_2,66
Chiplet_9_layer_3,54
Chiplet_9_layer_4,50
Chiplet_9_layer_5,54
Chiplet_9_layer_6,50
Chiplet_9_layer_7,54
Chiplet_12_layer_0,50
Chiplet_12_layer_1,38
Chiplet_12_layer_2,32
Chiplet_12_layer_3,54
Chiplet_12_layer_4,50
Chiplet_12_layer_5,54
Chiplet_12_layer_6,50
Chiplet_12_layer_7,54
Chiplet_7_layer_0,105
Chiplet_7_layer_1,105
Chiplet_7_layer_2,110
Chiplet_7_layer_3,105
Chiplet_7_layer_4,110
Chiplet_7_layer_5,105
Chiplet_7_layer_6,110
Chiplet_1_layer_0,124
Chiplet_1_layer_1,97
Chiplet_1_layer_2,66
Chiplet_1_layer_3,132
Chiplet_1_layer_4,124
Chiplet_1_layer_5,132
Chiplet_1_layer_6,124
Chiplet_1_layer_7,132
Total NoC latency is	0.000009	s
