Trace,Latency(cycles)
Chiplet_0_layer_0,1089
Chiplet_0_layer_1,304
Chiplet_0_layer_2,433
Chiplet_0_layer_3,105
Chiplet_0_layer_4,552
Chiplet_0_layer_5,79
Chiplet_0_layer_6,148
Chiplet_0_layer_7,79
Chiplet_0_layer_8,37
Chiplet_0_layer_9,136
Chiplet_0_layer_10,79
Chiplet_0_layer_11,533
Chiplet_0_layer_12,148
Chiplet_0_layer_13,148
Chiplet_0_layer_14,175
Chiplet_1_layer_0,79
Chiplet_1_layer_1,79
Chiplet_1_layer_2,196
Chiplet_1_layer_3,37
Chiplet_1_layer_4,37
Chiplet_1_layer_5,100
Chiplet_1_layer_6,72
Chiplet_1_layer_7,286
Chiplet_1_layer_8,226
Total NoC latency is	0.000005	s
