Layer_Index,Before_Pruning,After_Pruning
0,11,5
1,9,4
2,9,4
3,9,4
4,9,4
5,9,4
6,9,4
7,9,4
8,9,4
9,9,4
10,9,4
11,9,4
12,9,4
13,9,4
14,9,4
15,9,4
16,9,4
17,9,4
18,9,4
19,9,4
20,9,4
21,9,4
22,9,4
23,9,4
24,9,4
25,9,4
26,9,4
27,9,4
28,9,4
29,9,4
30,9,4
31,9,4
32,9,4
33,9,4
34,9,4
35,9,4
36,9,4
37,8,2
38,8,2
39,8,2
40,8,2
41,8,2
42,8,2
43,8,2
44,8,2
45,8,2
46,8,2
47,8,2
48,8,2
49,8,2
50,8,2
51,8,2
52,8,2
53,8,2
54,8,2
55,8,2
56,8,2
57,8,2
58,8,2
59,8,2
60,8,2
61,8,2
62,8,2
63,8,2
64,8,2
65,8,2
66,8,2
67,8,2
68,8,2
69,8,2
70,8,2
71,8,2
72,8,2
73,9,3
74,11,2
75,11,2
76,11,2
77,11,2
78,11,2
79,11,2
80,11,2
81,11,2
82,11,2
83,11,2
84,11,2
85,11,2
86,11,2
87,11,2
88,11,2
89,11,2
90,11,2
91,11,2
92,11,2
93,11,2
94,11,2
95,11,2
96,11,2
97,11,2
98,11,2
99,11,2
100,11,2
101,11,2
102,11,2
103,11,2
104,11,2
105,11,2
106,11,2
107,11,2
108,11,2
109,1,1
