Layer_Index,Before_Pruning,After_Pruning,Total_Pareto
0,9,4,4
1,11,5,5
2,11,5,5
3,11,5,5
4,11,5,5
5,11,5,5
6,11,5,5
7,11,5,5
8,11,5,5
9,11,5,5
10,11,5,5
11,11,5,5
12,11,5,5
13,11,5,5
14,11,5,5
15,11,5,5
16,11,5,5
17,11,5,5
18,11,5,5
19,11,5,5
20,11,5,5
21,11,5,5
22,11,5,5
23,11,5,5
24,11,5,5
25,11,5,5
26,11,5,5
27,11,5,5
28,11,5,5
29,11,5,5
30,11,5,5
31,11,5,5
32,11,5,5
33,11,5,5
34,11,5,5
35,11,5,5
36,11,5,5
37,9,4,4
38,9,4,4
39,9,4,4
40,9,4,4
41,9,4,4
42,9,4,4
43,9,4,4
44,9,4,4
45,9,4,4
46,9,4,4
47,9,4,4
48,9,4,4
49,9,4,4
50,9,4,4
51,9,4,4
52,9,4,4
53,9,4,4
54,9,4,4
55,9,4,4
56,9,4,4
57,9,4,4
58,9,4,4
59,9,4,4
60,9,4,4
61,9,4,4
62,9,4,4
63,9,4,4
64,9,4,4
65,9,4,4
66,9,4,4
67,9,4,4
68,9,4,4
69,9,4,4
70,9,4,4
71,9,4,4
72,9,4,4
73,8,2,2
74,8,2,2
75,8,2,2
76,8,2,2
77,8,2,2
78,8,2,2
79,8,2,2
80,8,2,2
81,8,2,2
82,8,2,2
83,8,2,2
84,8,2,2
85,8,2,2
86,8,2,2
87,8,2,2
88,8,2,2
89,8,2,2
90,8,2,2
91,8,2,2
92,8,2,2
93,8,2,2
94,8,2,2
95,8,2,2
96,8,2,2
97,8,2,2
98,8,2,2
99,8,2,2
100,8,2,2
101,8,2,2
102,8,2,2
103,8,2,2
104,8,2,2
105,8,2,2
106,8,2,2
107,8,2,2
108,8,2,2
109,1,1,0
