Scheme ID,Layer1_data_transmission,Layer1_compute_cycles,Layer1_resource_limit,Layer1_mapping_design,Layer2_data_transmission,Layer2_compute_cycles,Layer2_resource_limit,Layer2_mapping_design,Layer3_data_transmission,Layer3_compute_cycles,Layer3_resource_limit,Layer3_mapping_design,Layer4_data_transmission,Layer4_compute_cycles,Layer4_resource_limit,Layer4_mapping_design,Layer5_data_transmission,Layer5_compute_cycles,Layer5_resource_limit,Layer5_mapping_design,Layer6_data_transmission,Layer6_compute_cycles,Layer6_resource_limit,Layer6_mapping_design,Layer7_data_transmission,Layer7_compute_cycles,Layer7_resource_limit,Layer7_mapping_design,Layer8_data_transmission,Layer8_compute_cycles,Layer8_resource_limit,Layer8_mapping_design,Layer9_data_transmission,Layer9_compute_cycles,Layer9_resource_limit,Layer9_mapping_design,Layer10_data_transmission,Layer10_compute_cycles,Layer10_resource_limit,Layer10_mapping_design,Total data transmission,Total compute cycles,Total resource
1,447552.0,6216,1,"[4.0, 6.0, 3.0, 64.0]",12616704.0,24642,2,"[4.0, 4.0, 32, 64.0]",3097600.0,6050,2,"[4.0, 4.0, 32, 128.0]",6195200.0,12100,4,"[4.0, 4.0, 32, 128.0]",3359232.0,8748,3,"[3.0, 3.0, 56, 256.0]",6718464.0,14580,5,"[3.0, 3.0, 56, 256.0]",1557504.0,3380,5,"[3.0, 3.0, 56, 512.0]",3115008.0,6084.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",38434368.0,84392.0,52
2,447552.0,6216,1,"[4.0, 6.0, 3.0, 64.0]",12616704.0,24642,2,"[4.0, 4.0, 32, 64.0]",3097600.0,6050,2,"[4.0, 4.0, 32, 128.0]",6195200.0,12100,4,"[4.0, 4.0, 32, 128.0]",3359232.0,8748,3,"[3.0, 3.0, 56, 256.0]",4478976.0,10206,7,"[3.0, 4.0, 42, 256.0]",1557504.0,3380,5,"[3.0, 3.0, 56, 512.0]",3115008.0,6084.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",36194880.0,80018.0,54
3,447552.0,6216,1,"[4.0, 6.0, 3.0, 64.0]",12616704.0,24642,2,"[4.0, 4.0, 32, 64.0]",3097600.0,6050,2,"[4.0, 4.0, 32, 128.0]",6195200.0,12100,4,"[4.0, 4.0, 32, 128.0]",2239488.0,5832,4,"[3.0, 4.0, 42, 256.0]",6718464.0,14580,5,"[3.0, 3.0, 56, 256.0]",1557504.0,3380,5,"[3.0, 3.0, 56, 512.0]",3115008.0,6084.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",37314624.0,81476.0,53
4,447552.0,6216,1,"[4.0, 6.0, 3.0, 64.0]",12616704.0,24642,2,"[4.0, 4.0, 32, 64.0]",3097600.0,6050,2,"[4.0, 4.0, 32, 128.0]",6195200.0,12100,4,"[4.0, 4.0, 32, 128.0]",2239488.0,5832,4,"[3.0, 4.0, 42, 256.0]",4478976.0,10206,7,"[3.0, 4.0, 42, 256.0]",1557504.0,3380,5,"[3.0, 3.0, 56, 512.0]",3115008.0,6084.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",35075136.0,77102.0,55
5,447552.0,6216,1,"[4.0, 6.0, 3.0, 64.0]",12616704.0,24642,2,"[4.0, 4.0, 32, 64.0]",3097600.0,6050,2,"[4.0, 4.0, 32, 128.0]",6195200.0,12100,4,"[4.0, 4.0, 32, 128.0]",1492992.0,5832,8,"[4.0, 4.0, 32, 128]",6718464.0,14580,5,"[3.0, 3.0, 56, 256.0]",1557504.0,3380,5,"[3.0, 3.0, 56, 512.0]",3115008.0,6084.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",36568128.0,81476.0,57
6,447552.0,6216,1,"[4.0, 6.0, 3.0, 64.0]",12616704.0,24642,2,"[4.0, 4.0, 32, 64.0]",3097600.0,6050,2,"[4.0, 4.0, 32, 128.0]",6195200.0,12100,4,"[4.0, 4.0, 32, 128.0]",1492992.0,5832,8,"[4.0, 4.0, 32, 128]",4478976.0,10206,7,"[3.0, 4.0, 42, 256.0]",1557504.0,3380,5,"[3.0, 3.0, 56, 512.0]",3115008.0,6084.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",34328640.0,77102.0,59
7,447552.0,6216,1,"[4.0, 6.0, 3.0, 64.0]",12616704.0,24642,2,"[4.0, 4.0, 32, 64.0]",2604800.0,12210,6,"[4.0, 5.0, 25, 85]",6195200.0,12100,4,"[4.0, 4.0, 32, 128.0]",3359232.0,8748,3,"[3.0, 3.0, 56, 256.0]",4478976.0,10206,7,"[3.0, 4.0, 42, 256.0]",1557504.0,3380,5,"[3.0, 3.0, 56, 512.0]",3115008.0,6084.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",35702080.0,86178.0,58
8,447552.0,6216,1,"[4.0, 6.0, 3.0, 64.0]",12616704.0,24642,2,"[4.0, 4.0, 32, 64.0]",2604800.0,12210,6,"[4.0, 5.0, 25, 85]",6195200.0,12100,4,"[4.0, 4.0, 32, 128.0]",2239488.0,5832,4,"[3.0, 4.0, 42, 256.0]",6718464.0,14580,5,"[3.0, 3.0, 56, 256.0]",1557504.0,3380,5,"[3.0, 3.0, 56, 512.0]",3115008.0,6084.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",36821824.0,87636.0,57
9,447552.0,6216,1,"[4.0, 6.0, 3.0, 64.0]",12616704.0,24642,2,"[4.0, 4.0, 32, 64.0]",2604800.0,12210,6,"[4.0, 5.0, 25, 85]",6195200.0,12100,4,"[4.0, 4.0, 32, 128.0]",2239488.0,5832,4,"[3.0, 4.0, 42, 256.0]",4478976.0,10206,7,"[3.0, 4.0, 42, 256.0]",1557504.0,3380,5,"[3.0, 3.0, 56, 512.0]",3115008.0,6084.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",34582336.0,83262.0,59
10,447552.0,6216,1,"[4.0, 6.0, 3.0, 64.0]",12616704.0,24642,2,"[4.0, 4.0, 32, 64.0]",2365440.0,12320,8,"[4.0, 6.0, 21, 64]",6195200.0,12100,4,"[4.0, 4.0, 32, 128.0]",3359232.0,8748,3,"[3.0, 3.0, 56, 256.0]",4478976.0,10206,7,"[3.0, 4.0, 42, 256.0]",1557504.0,3380,5,"[3.0, 3.0, 56, 512.0]",3115008.0,6084.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",35462720.0,86288.0,60
11,447552.0,6216,1,"[4.0, 6.0, 3.0, 64.0]",12616704.0,24642,2,"[4.0, 4.0, 32, 64.0]",2365440.0,12320,8,"[4.0, 6.0, 21, 64]",6195200.0,12100,4,"[4.0, 4.0, 32, 128.0]",2239488.0,5832,4,"[3.0, 4.0, 42, 256.0]",6718464.0,14580,5,"[3.0, 3.0, 56, 256.0]",1557504.0,3380,5,"[3.0, 3.0, 56, 512.0]",3115008.0,6084.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",663552.0,1296.0,10,"[3.0, 3.0, 56, 512.0]",36582464.0,87746.0,59
